epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,2378.56,0.51442,0.46151,0.99035,0.89824,0.88344,0.91851,0.62761,1.22711,0.55854,1.34686,9.68335e-05,9.68335e-05,9.68335e-05
95,2401.3,0.51019,0.45405,0.9892,0.89105,0.88344,0.90995,0.61112,1.25702,0.57922,1.36744,9.39539e-05,9.39539e-05,9.39539e-05
96,2424.3,0.4997,0.45226,0.98559,0.90104,0.88344,0.91945,0.61668,1.2464,0.57612,1.35626,9.10996e-05,9.10996e-05,9.10996e-05
97,2446.9,0.49238,0.43385,0.98331,0.87477,0.89998,0.91087,0.62283,1.23918,0.55868,1.34125,8.82718e-05,8.82718e-05,8.82718e-05
98,2469.95,0.50233,0.44599,0.98108,0.92248,0.87611,0.91743,0.61247,1.22851,0.55309,1.33405,8.54717e-05,8.54717e-05,8.54717e-05
99,2494.58,0.49767,0.44405,0.98305,0.90803,0.84804,0.90576,0.61313,1.26513,0.57149,1.36198,8.27005e-05,8.27005e-05,8.27005e-05
100,2519.36,0.50295,0.45055,0.98405,0.89125,0.88344,0.91395,0.61624,1.25875,0.57594,1.36135,7.99596e-05,7.99596e-05,7.99596e-05
101,2544.11,0.50947,0.45527,0.98995,0.88943,0.88831,0.92256,0.62153,1.25112,0.55849,1.36179,7.725e-05,7.725e-05,7.725e-05
102,2568.57,0.49894,0.44101,0.98338,0.91674,0.8589,0.91317,0.61667,1.26164,0.5538,1.37061,7.4573e-05,7.4573e-05,7.4573e-05
103,2593.12,0.50194,0.44064,0.98658,0.91653,0.8589,0.91331,0.61648,1.24168,0.56044,1.34229,7.19297e-05,7.19297e-05,7.19297e-05
104,2617.58,0.49461,0.43557,0.98212,0.87182,0.88957,0.90857,0.6102,1.25379,0.57515,1.35284,6.93214e-05,6.93214e-05,6.93214e-05
105,2642.23,0.48958,0.43727,0.97822,0.89246,0.8773,0.90402,0.61743,1.23481,0.54184,1.35035,6.6749e-05,6.6749e-05,6.6749e-05
106,2667.33,0.48812,0.43184,0.97919,0.87763,0.88002,0.90763,0.62014,1.24991,0.56954,1.36978,6.42139e-05,6.42139e-05,6.42139e-05
107,2692.28,0.48947,0.44058,0.97888,0.91833,0.85276,0.91301,0.62148,1.23472,0.57054,1.35092,6.1717e-05,6.1717e-05,6.1717e-05
108,2717.15,0.48373,0.42826,0.97826,0.90319,0.85855,0.91133,0.6166,1.23577,0.58486,1.35292,5.92596e-05,5.92596e-05,5.92596e-05
109,2741.85,0.47904,0.42746,0.97283,0.89858,0.84663,0.91269,0.61079,1.24437,0.58417,1.35969,5.68425e-05,5.68425e-05,5.68425e-05
